EMPLOYERNAME,CALENDARYEAR,GEOGRAPHY,LOCATION,NAICSID,NAICSCLASSTITLE,PEAKEMPLOYEECOUNT,PERMFULLTIMECOUNT,PERMPARTTIMECOUNT,TEMPCOUNT,CANADACOUNT
Administration portuaire de Montréal,2008,CMA,Edmonton,0,,,,,,
Administration portuaire de Montréal,2008,CMA,Halifax,0,,,,,,
Administration portuaire de Montréal,2008,CMA,Montréal,0,,338,,,,
Administration portuaire de Montréal,2008,CMA,Regina,0,,,,,,
Administration portuaire de Montréal,2008,CMA,Toronto,0,,,,,,
Administration portuaire de Montréal,2008,CMA,Vancouver,0,,,,,,
Administration portuaire de Montréal,2008,CMA,Winnipeg,0,,,,,,
"Aeroguard Eastern Ltd., Aeroguard Inc., Aeroguard Company Ltd.",2008,National,Canada,0,,1889,1573,177,0,1750
"Aeroguard Eastern Ltd., Aeroguard Inc., Aeroguard Company Ltd.",2008,National,Canada,5616,Investigation and Security Services,1889,,,,
"Aeroguard Eastern Ltd., Aeroguard Inc., Aeroguard Company Ltd.",2008,Provincial,Ontario,0,,597,,,,
"Aeroguard Eastern Ltd., Aeroguard Inc., Aeroguard Company Ltd.",2008,Provincial,Québec,0,,,,,,
"Aeroguard Eastern Ltd., Aeroguard Inc., Aeroguard Company Ltd.",2008,Provincial,Nova Scotia,0,,,,,,
"Aeroguard Eastern Ltd., Aeroguard Inc., Aeroguard Company Ltd.",2008,Provincial,New Brunswick,0,,,,,,
"Aeroguard Eastern Ltd., Aeroguard Inc., Aeroguard Company Ltd.",2008,Provincial,Manitoba,0,,210,,,,
"Aeroguard Eastern Ltd., Aeroguard Inc., Aeroguard Company Ltd.",2008,Provincial,British Columbia,0,,806,,,,
"Aeroguard Eastern Ltd., Aeroguard Inc., Aeroguard Company Ltd.",2008,Provincial,Prince Edward Island,0,,,,,,
"Aeroguard Eastern Ltd., Aeroguard Inc., Aeroguard Company Ltd.",2008,Provincial,Saskatchewan,0,,132,,,,
"Aeroguard Eastern Ltd., Aeroguard Inc., Aeroguard Company Ltd.",2008,Provincial,Alberta,0,,50,,,,
"Aeroguard Eastern Ltd., Aeroguard Inc., Aeroguard Company Ltd.",2008,Provincial,Newfoundland and Labrador,0,,,,,,
"Aeroguard Eastern Ltd., Aeroguard Inc., Aeroguard Company Ltd.",2008,Provincial,Yukon,0,,32,,,,
"Aeroguard Eastern Ltd., Aeroguard Inc., Aeroguard Company Ltd.",2008,Provincial,Northwest Territories,0,,62,,,,
"Aeroguard Eastern Ltd., Aeroguard Inc., Aeroguard Company Ltd.",2008,Provincial,Nunavut,0,,,,,,
"Aeroguard Eastern Ltd., Aeroguard Inc., Aeroguard Company Ltd.",2008,CMA,Calgary,0,,,,,,
